TimesUsed,OftenText,OftenVideo,OftenPhone,OftenSocialMedia,OftenSoloGame,OftenMultiplay,OftenEntertain,OftenCultural,OftenCreative,FeatureTalkFriends,FeatureTalkStranger,FeatureScreenshot,DataPriv,PrivFeatUsed,ControlPriv,BiometricDevelop,BiometricMarket,BiometricSellAnon,BiometricSellData,SoloVMulti,UseVRGames,UseVRUnique,UseVRImmersive,UseVRFriends,UseVRStrangers,UseVRAlone,UseVRDemo,PrimaryUseVR,WishFriends,VRAlone,Lonely,ConnectPeople,NegSocExperience,HarrBubble,HarrInvisib,HarrMute,HarrBlock,HarrLive,HarrVoice,IdealAvatar,WorkTime,HoursVR,USLive,State,GenderID,ConsiderHarrassment,DescribHarr,Howlong,Country
More than once a week,Daily,2+ times per week,Once a week,Daily,Once a week,Rarely,Rarely,Monthly,Once a week,Important,Very unimportant,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Neutral,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Get work done,Agree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Effective,Effective,Neutral,It doesn't look like me.,Over half of my time in VR is work-related.,6-10 hours,No,NA,Female,I don't know/Not applicable,NA,Between 3 months and 6 months,United Kingdom 
More than once a week,Daily,Monthly,2+ times per week,Daily,Once a week,Never used,Once a week,Once a week,Once a week,Neutral,Unimportant,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp)",Very little,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Research and education ,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Effective,Ineffective,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,6-10 hours,Yes,Mississippi,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Daily,Daily,2 + times per week,2 + times per week,Daily,Monthly,Once a week,Neutral,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Development of new technology,Strongly disagree,Agree,Strongly disagree,Agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures",Effective,Effective,Effective,Effective,Strongly effective,Strongly effective,"It doesn't look like me., The graphics look realistic.",Over half of my time in VR is work-related.,More than 20 hours,No,NA,Male,Yes,NA,More than a year,Australia
More than once a week,Daily,Daily,Daily,Daily,Rarely,Rarely,Daily,Monthly,Once a week,Important,Very unimportant,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Disagree,"Sexually suggestive or sexist comments, Catcalling/lewd noises, Rude gestures, Groping",Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Strongly ineffective,It looks like me.,Over half of my time in VR is work-related.,6-10 hours,Yes,Washington,Female,Yes,NA,More than a year,NA
2-3x/month,Daily,Daily,Daily,2+ times per week,Rarely,Rarely,Once a week,Monthly,Monthly,Neutral,Neutral,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software",Very little,Acceptable,Acceptable,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Spend time with friends,Disagree,Disagree,Disagree,Agree,"Stalking, Assault",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",I don't use VR in my work.,2-5 hours,Yes,Washington,Female,I don't know/Not applicable,"Rec room stalker following me around, putting bucket on my head ",More than a year,NA
About once a week,Daily,Daily,Daily,Daily,Daily,2 + times per week,2 + times per week,2 + times per week,2 + times per week,Very important,Unimportant,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Unique experiences,Agree,Disagree,Agree,Disagree,"Sexually suggestive or sexist comments, Catcalling/lewd noises, Rude gestures, Stalking",Strongly effective,Neutral,Effective,Effective,Neutral,Effective,It doesn't look like me.,I don't use VR in my work.,2-5 hours,Yes,Texas,Female,Yes,Rec room kids,More than a year,NA
More than once a week,Daily,Monthly,2+ times per week,Daily,Daily,Rarely,Monthly,Rarely,Rarely,Very important,Important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear), Encrypted notebooks ",Somewhat,Acceptable,Acceptable,Acceptable,Acceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Developing vr content,Strongly agree,Strongly agree,Agree,Agree,I have experienced none of these,Neutral,Strongly effective,Strongly effective,Strongly effective,Effective,Effective,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,Yes,Missouri,Male,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,2+ times per week,Daily,Daily,Monthly,Monthly,Once a week,Monthly,Once a week,Important,Important,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software",Very little,Neutral,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Get work done,Agree,Agree,Strongly disagree,Disagree,I have experienced none of these,Don't know/NA,Neutral,Neutral,Strongly effective,Neutral,Don't know/NA,"It looks like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,No,NA,Female,I don't know/Not applicable,NA,More than a year,Nigeria
More than once a week,Daily,Rarely,Daily,Daily,Rarely,Rarely,Monthly,Daily,Monthly,Unimportant,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Adblocker software",Very little,Neutral,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Get work done,Strongly disagree,Agree,Strongly disagree,Strongly disagree,I have experienced none of these,Strongly effective,Effective,Strongly effective,Strongly effective,Effective,Ineffective,It looks like me.,Over half of my time in VR is work-related.,1 hour or less,Yes,California,Female,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Once a week,Daily,2 + times per week,Monthly,Rarely,Monthly,Daily,Neutral,Very unimportant,Important,Very unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Acceptable,Acceptable,Acceptable,Acceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Strongly disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Stalking, Assault, Groping",Strongly ineffective,Neutral,Ineffective,Ineffective,Effective,Neutral,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,11-20 hours,Yes,California,Male,Yes,NA,More than a year,NA
